settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,spike_prob
2026-06-01 00:00:00,2026-06-01,1,99.28,73.52,99.28,128.79,0.0001
2026-06-01 00:30:00,2026-06-01,2,96.59,75.55,96.59,125.84,0.0002
2026-06-01 01:00:00,2026-06-01,3,96.44,73.76,96.44,125.53,0.0003
2026-06-01 01:30:00,2026-06-01,4,96.57,87.45,96.57,124.39,0.0002
2026-06-01 02:00:00,2026-06-01,5,96.46,87.4,96.46,124.65,0.0002
2026-06-01 02:30:00,2026-06-01,6,96.61,86.6,96.61,110.99,0.0001
2026-06-01 03:00:00,2026-06-01,7,96.97,89.95,96.97,107.4,0.0
2026-06-01 03:30:00,2026-06-01,8,97.16,92.47,97.16,109.96,0.0
2026-06-01 04:00:00,2026-06-01,9,97.72,87.77,97.72,105.86,0.0001
2026-06-01 04:30:00,2026-06-01,10,97.81,86.23,97.81,110.23,0.0001
2026-06-01 05:00:00,2026-06-01,11,97.9,87.17,97.9,115.92,0.0001
2026-06-01 05:30:00,2026-06-01,12,97.94,90.14,97.94,114.77,0.0001
2026-06-01 06:00:00,2026-06-01,13,98.18,94.35,98.18,118.4,0.0001
2026-06-01 06:30:00,2026-06-01,14,98.68,95.12,98.68,119.84,0.0001
2026-06-01 07:00:00,2026-06-01,15,99.34,93.87,99.34,120.74,0.0001
2026-06-01 07:30:00,2026-06-01,16,100.31,73.49,100.31,121.09,0.0002
2026-06-01 08:00:00,2026-06-01,17,100.12,74.51,100.12,110.64,0.0001
2026-06-01 08:30:00,2026-06-01,18,99.37,76.56,99.37,108.29,0.0001
2026-06-01 09:00:00,2026-06-01,19,98.51,75.21,98.51,109.81,0.0001
2026-06-01 09:30:00,2026-06-01,20,97.73,79.62,97.73,111.17,0.0001
2026-06-01 10:00:00,2026-06-01,21,99.09,78.59,99.09,111.6,0.0001
2026-06-01 10:30:00,2026-06-01,22,100.18,79.08,100.18,114.09,0.0003
2026-06-01 11:00:00,2026-06-01,23,99.65,79.52,99.65,111.45,0.0001
2026-06-01 11:30:00,2026-06-01,24,98.9,79.94,98.9,114.04,0.0001
2026-06-01 12:00:00,2026-06-01,25,97.9,79.84,97.9,114.1,0.0002
2026-06-01 12:30:00,2026-06-01,26,97.32,79.1,97.32,110.28,0.0001
2026-06-01 13:00:00,2026-06-01,27,96.85,79.33,96.85,106.28,0.0002
2026-06-01 13:30:00,2026-06-01,28,95.94,77.77,95.94,112.07,0.0002
2026-06-01 14:00:00,2026-06-01,29,94.91,77.23,94.91,103.89,0.0001
2026-06-01 14:30:00,2026-06-01,30,94.92,77.84,94.92,95.08,0.0001
2026-06-01 15:00:00,2026-06-01,31,96.34,83.27,96.34,96.34,0.0001
2026-06-01 15:30:00,2026-06-01,32,97.19,80.57,97.19,121.26,0.0001
2026-06-01 16:00:00,2026-06-01,33,99.75,82.43,99.75,136.9,0.0001
2026-06-01 16:30:00,2026-06-01,34,102.32,86.82,102.32,153.63,0.0002
2026-06-01 17:00:00,2026-06-01,35,102.28,86.58,102.28,133.08,0.0001
2026-06-01 17:30:00,2026-06-01,36,103.79,88.6,103.79,134.52,0.0002
2026-06-01 18:00:00,2026-06-01,37,105.61,87.17,105.61,135.01,0.0003
2026-06-01 18:30:00,2026-06-01,38,105.71,84.1,105.71,135.5,0.0002
2026-06-01 19:00:00,2026-06-01,39,105.81,92.61,105.81,133.3,0.0001
2026-06-01 19:30:00,2026-06-01,40,105.11,86.96,105.11,132.11,0.0001
2026-06-01 20:00:00,2026-06-01,41,104.68,86.03,104.68,128.22,0.0
2026-06-01 20:30:00,2026-06-01,42,102.5,78.52,102.5,129.9,0.0003
2026-06-01 21:00:00,2026-06-01,43,101.74,88.34,101.74,125.11,0.0001
2026-06-01 21:30:00,2026-06-01,44,100.44,80.51,100.44,121.53,0.0
2026-06-01 22:00:00,2026-06-01,45,97.85,71.58,97.85,118.46,0.0
2026-06-01 22:30:00,2026-06-01,46,97.07,71.75,97.07,118.16,0.0001
2026-06-01 23:00:00,2026-06-01,47,95.78,66.52,95.78,117.26,0.0001
2026-06-01 23:30:00,2026-06-01,48,95.2,68.52,95.2,102.23,0.0001
